$csv = @"
timestamp,open,high,low,close,volume
2025-09-01 00:00:00,100,101,99,100.5,1200
2025-09-01 00:05:00,100.5,102,100,101.8,1500
2025-09-01 00:10:00,101.8,103,101,102.4,1300
2025-09-01 00:15:00,102.4,104,102,103.2,1600
2025-09-01 00:20:00,103.2,105,103,104.1,1700
2025-09-01 00:25:00,104.1,106,104,105.6,1400
2025-09-01 00:30:00,105.6,107,105,106.3,1550
2025-09-01 00:35:00,106.3,108,106,107.9,1650
2025-09-01 00:40:00,107.9,109,107,108.5,1750
2025-09-01 00:45:00,108.5,110,108,109.2,1800
2025-09-01 00:50:00,109.2,111,109,110.0,1900
2025-09-01 00:55:00,110.0,112,110,111.1,2000
2025-09-01 01:00:00,111.1,113,111,112.4,2100
"@;
$target = "C:\Users\unive\Desktop\v_infinity\adaptive_dca_ai\data\sample_prices.csv";
New-Item -ItemType Directory -Path (Split-Path $target) -Force | Out-Null;
Set-Content -Path $target -Value $csv -Encoding UTF8;
Write-Output "WROTE: $target"
